Time	LH_BicepsFemorisAnterior R	LH_BicepsFemorisPosterior R	LH_Gastrocnemius R	LH_Illiopsoas R	LH_RectusFemoris R	LH_Soleus R	LH_TibialisAnterior R	LH_Vastii R	
0	4.157011	3.889673	4.456172	1.296108	4.089592	3.739891	4.273526	3.274826	
5E-05	4.157011	3.889673	4.455897	1.29572	4.089581	3.73989	4.273153	3.274826	
0.0001	4.158094	3.889673	4.455624	1.295338	4.089308	3.73989	4.272766	3.275167	
0.00015	4.15898	3.890188	4.455354	1.294897	4.088398	3.740151	4.27245	3.275281	
0.0002	4.159482	3.890321	4.455087	1.293569	4.087269	3.740339	4.272155	3.275396	
0.00025	4.160001	3.890478	4.454822	1.292428	4.086049	3.740429	4.271868	3.275511	
0.0003	4.16054	3.890667	4.454561	1.291364	4.084789	3.740519	4.271583	3.275626	
0.00035	4.161097	3.890892	4.454302	1.290317	4.083509	3.740611	4.271298	3.275741	
0.0004	4.161672	3.891153	4.454048	1.289262	4.082222	3.740702	4.271013	3.275856	
0.00045	4.162266	3.89145	4.453797	1.288192	4.080935	3.740795	4.270728	3.27597	
0.0005	4.162877	3.891783	4.45355	1.287104	4.079647	3.740888	4.270441	3.276085	
0.00055	4.163505	3.892153	4.453307	1.286001	4.078363	3.740981	4.270153	3.276199	
0.0006	4.16415	3.892557	4.453068	1.284885	4.077084	3.741076	4.269865	3.276313	
0.00065	4.164811	3.892997	4.452832	1.283758	4.075809	3.74117	4.269575	3.276427	
0.0007	4.165487	3.89347	4.4526	1.282623	4.07454	3.741266	4.269284	3.276541	
0.00075	4.166179	3.893976	4.452373	1.281481	4.073278	3.741361	4.268991	3.276655	
0.0008	4.166885	3.894516	4.452148	1.280335	4.072023	3.741458	4.268698	3.276768	
0.00085	4.167606	3.895087	4.451927	1.279184	4.070776	3.741555	4.268403	3.276882	
0.0009	4.168341	3.895689	4.451709	1.278032	4.069535	3.741652	4.268107	3.276996	
0.00095	4.169088	3.896321	4.451495	1.276877	4.068302	3.74175	4.267809	3.277109	
0.0009999999	4.169849	3.896983	4.451284	1.275722	4.067076	3.741849	4.267511	3.277222	
0.00105	4.170623	3.897674	4.451077	1.274567	4.065858	3.741949	4.267211	3.277335	
0.0011	4.171409	3.898394	4.450873	1.273412	4.064649	3.742049	4.26691	3.277449	
0.00115	4.172207	3.899141	4.450673	1.272258	4.063445	3.742149	4.266608	3.277562	
0.0012	4.173017	3.899915	4.450475	1.271106	4.06225	3.74225	4.266304	3.277675	
0.00125	4.173837	3.900714	4.450281	1.269955	4.061061	3.742351	4.266	3.277788	
0.0013	4.174668	3.901539	4.45009	1.268806	4.05988	3.742453	4.265694	3.277901	
0.00135	4.17551	3.90239	4.449902	1.267659	4.058705	3.742556	4.265388	3.278014	
0.0014	4.176362	3.903264	4.449718	1.266514	4.057537	3.742659	4.265079	3.278126	
0.00145	4.177224	3.904162	4.449535	1.265373	4.056376	3.742762	4.264771	3.278239	
0.0015	4.178095	3.905082	4.449357	1.264234	4.05522	3.742866	4.26446	3.278352	
0.00155	4.178975	3.906026	4.449181	1.263099	4.05407	3.742971	4.264149	3.278465	
0.0016	4.179864	3.906991	4.449008	1.261966	4.052927	3.743076	4.263836	3.278578	
0.00165	4.180762	3.907976	4.448838	1.260837	4.051789	3.743182	4.263523	3.278691	
0.0017	4.181668	3.908983	4.448671	1.259712	4.050657	3.743288	4.263209	3.278803	
0.00175	4.182582	3.910009	4.448507	1.25859	4.04953	3.743395	4.262894	3.278916	
0.0018	4.183504	3.911055	4.448345	1.257471	4.048409	3.743502	4.262578	3.279028	
0.00185	4.184433	3.912119	4.448186	1.256356	4.047293	3.74361	4.26226	3.279141	
0.0019	4.185369	3.913202	4.44803	1.255244	4.046183	3.743718	4.261942	3.279254	
0.00195	4.186312	3.914303	4.447876	1.254137	4.045077	3.743827	4.261623	3.279367	
0.002	4.187262	3.915421	4.447726	1.253033	4.043977	3.743936	4.261303	3.279479	
0.00205	4.188218	3.916555	4.447577	1.251933	4.042881	3.744046	4.260983	3.279592	
0.0021	4.18918	3.917706	4.447432	1.250836	4.04179	3.744156	4.260661	3.279705	
0.00215	4.190148	3.918873	4.447289	1.249743	4.040705	3.744267	4.260338	3.279818	
0.0022	4.191122	3.920055	4.447148	1.248653	4.039625	3.744378	4.260015	3.27993	
0.00225	4.192101	3.921252	4.44701	1.247568	4.038549	3.74449	4.259691	3.280043	
0.0023	4.193085	3.922463	4.446874	1.246485	4.037478	3.744602	4.259367	3.280155	
0.00235	4.194074	3.923688	4.446741	1.245407	4.036413	3.744715	4.259041	3.280268	
0.0024	4.195068	3.924927	4.446609	1.244331	4.035352	3.744828	4.258715	3.280381	
0.00245	4.196066	3.926178	4.44648	1.24326	4.034296	3.744942	4.258389	3.280493	
0.0025	4.197069	3.927443	4.446354	1.242192	4.033245	3.745056	4.25806	3.280606	
0.00255	4.198077	3.92872	4.44623	1.241127	4.032199	3.745171	4.257732	3.280719	
0.0026	4.199087	3.930008	4.446108	1.240065	4.031157	3.745286	4.257403	3.280832	
0.00265	4.200102	3.931309	4.445988	1.239007	4.030121	3.745402	4.256911	3.280944	
0.0027	4.20112	3.93262	4.44587	1.237952	4.029089	3.745517	4.256397	3.281057	
0.00275	4.202142	3.933942	4.445755	1.236901	4.028063	3.745634	4.255884	3.28117	
0.0028	4.203167	3.935274	4.445642	1.235853	4.02704	3.745751	4.255372	3.281283	
0.00285	4.204195	3.936616	4.44553	1.234808	4.026023	3.745869	4.25486	3.281395	
0.0029	4.205226	3.937968	4.445421	1.233766	4.025011	3.745986	4.254351	3.281508	
0.00295	4.20626	3.939329	4.445313	1.232728	4.024003	3.746105	4.253841	3.281621	
0.003	4.207297	3.940699	4.445208	1.231693	4.023	3.746224	4.253332	3.281734	
0.00305	4.208336	3.942078	4.445105	1.230661	4.022001	3.746343	4.252824	3.281847	
0.0031	4.209377	3.943465	4.445004	1.229632	4.021007	3.746463	4.252318	3.28196	
0.00315	4.21042	3.94486	4.444904	1.228607	4.020018	3.746583	4.251812	3.282073	
0.0032	4.211465	3.946263	4.444806	1.227584	4.019032	3.746704	4.251307	3.282186	
0.00325	4.212512	3.947674	4.444711	1.226565	4.018052	3.746825	4.250804	3.282299	
0.0033	4.213562	3.949091	4.444616	1.22555	4.017076	3.746947	4.250301	3.282412	
0.00335	4.214612	3.950515	4.444524	1.224537	4.016104	3.747068	4.2498	3.282525	
0.0034	4.215664	3.951946	4.444434	1.223528	4.015137	3.747191	4.249299	3.282638	
0.00345	4.216718	3.953383	4.444345	1.222521	4.014174	3.747313	4.248799	3.282751	
0.0035	4.217772	3.954826	4.444259	1.221518	4.013216	3.747437	4.248301	3.282864	
0.00355	4.218828	3.956275	4.444174	1.220518	4.012261	3.747561	4.247802	3.282978	
0.0036	4.219885	3.95773	4.44409	1.219521	4.011312	3.747684	4.247305	3.283091	
0.00365	4.220942	3.959189	4.444008	1.218527	4.010365	3.747809	4.246809	3.283204	
0.0037	4.222001	3.960654	4.443928	1.217536	4.009424	3.747934	4.246314	3.283317	
0.00375	4.22306	3.962123	4.44385	1.216548	4.008487	3.74806	4.24582	3.283431	
0.0038	4.22412	3.963597	4.443773	1.215564	4.007554	3.748185	4.245327	3.283544	
0.00385	4.22518	3.965075	4.443697	1.214582	4.006625	3.748312	4.244834	3.283658	
0.0039	4.226241	3.966557	4.443624	1.213604	4.0057	3.748438	4.244343	3.283771	
0.00395	4.227302	3.968043	4.443552	1.212628	4.004779	3.748565	4.243852	3.283884	
0.004	4.228363	3.969533	4.443481	1.211656	4.003863	3.748693	4.243362	3.283998	
0.00405	4.229424	3.971026	4.443411	1.210687	4.002951	3.74882	4.242875	3.284111	
0.0041	4.230485	3.972522	4.443344	1.20972	4.002042	3.748949	4.242386	3.284225	
0.00415	4.231546	3.974021	4.443277	1.208757	4.001137	3.749077	4.2419	3.284338	
0.0042	4.232607	3.975523	4.443213	1.207796	4.000237	3.749206	4.241415	3.284452	
0.00425	4.233668	3.977028	4.443149	1.206839	3.99934	3.749336	4.24093	3.284566	
0.0043	4.234728	3.978535	4.443087	1.205885	3.998448	3.749465	4.240446	3.284679	
0.00435	4.235788	3.980045	4.443027	1.204933	3.997559	3.749596	4.239963	3.284793	
0.0044	4.236847	3.981556	4.442967	1.203985	3.996674	3.749726	4.239481	3.284907	
0.00445	4.237906	3.983069	4.442909	1.203039	3.995794	3.749857	4.239	3.285021	
0.0045	4.238965	3.984584	4.442852	1.202096	3.994917	3.749989	4.23852	3.285135	
0.00455	4.240023	3.986101	4.442797	1.201156	3.994044	3.75012	4.238041	3.285249	
0.0046	4.241079	3.987619	4.442743	1.20022	3.993175	3.750253	4.237562	3.285362	
0.00465	4.242136	3.989138	4.44269	1.199286	3.992309	3.750385	4.237084	3.285477	
0.0047	4.243191	3.990659	4.442638	1.198355	3.991448	3.750518	4.236608	3.285591	
0.00475	4.244245	3.99218	4.442588	1.197426	3.99059	3.750651	4.236133	3.285705	
0.0048	4.245298	3.993702	4.442539	1.196501	3.989736	3.750785	4.235658	3.285819	
0.00485	4.24635	3.995225	4.442491	1.195579	3.988885	3.750918	4.235183	3.285933	
0.0049	4.247401	3.996748	4.442444	1.194659	3.988039	3.751053	4.234712	3.286047	
0.00495	4.248451	3.998271	4.442399	1.193742	3.987196	3.751188	4.234239	3.286161	
0.005	4.2495	3.999795	4.442354	1.192828	3.986357	3.751323	4.233769	3.286276	
0.00505	4.250547	4.001319	4.442311	1.191917	3.985521	3.751458	4.233298	3.28639	
0.0051	4.251593	4.002843	4.442268	1.191009	3.984689	3.751594	4.23283	3.286504	
0.00515	4.252638	4.004366	4.442228	1.190103	3.983861	3.75173	4.232361	3.286618	
0.0052	4.253681	4.005889	4.442187	1.189201	3.983036	3.751866	4.231893	3.286733	
0.00525	4.254723	4.007412	4.442149	1.188301	3.982215	3.752003	4.231428	3.286848	
0.0053	4.255763	4.008935	4.442111	1.187403	3.981398	3.75214	4.230962	3.286962	
0.00535	4.256801	4.010457	4.442074	1.186509	3.980584	3.752277	4.230497	3.287076	
0.0054	4.257838	4.011978	4.442038	1.185617	3.979774	3.752415	4.230033	3.287191	
0.00545	4.258873	4.013498	4.442003	1.184729	3.978966	3.752553	4.22957	3.287306	
0.0055	4.259907	4.015017	4.441969	1.183842	3.978163	3.752692	4.229108	3.28742	
0.00555	4.260939	4.016535	4.441936	1.182959	3.977363	3.752831	4.228647	3.287535	
0.0056	4.261969	4.018052	4.441905	1.182078	3.976566	3.75297	4.228188	3.28765	
0.00565	4.262998	4.019567	4.441874	1.1812	3.975774	3.753109	4.227728	3.287764	
0.0057	4.264024	4.021082	4.441844	1.180325	3.974984	3.753249	4.22727	3.287879	
0.00575	4.265049	4.022594	4.441814	1.179453	3.974198	3.753389	4.226812	3.287994	
0.0058	4.266071	4.024106	4.441787	1.178583	3.973415	3.75353	4.226355	3.288109	
0.00585	4.267092	4.025615	4.44176	1.177715	3.972636	3.75367	4.2259	3.288224	
0.0059	4.268111	4.027123	4.441733	1.176851	3.971861	3.753812	4.225445	3.288339	
0.00595	4.269127	4.028629	4.441708	1.175989	3.971088	3.753953	4.224991	3.288454	
0.006	4.270142	4.030133	4.441683	1.17513	3.970319	3.754095	4.224538	3.288568	
0.00605	4.271154	4.031635	4.441659	1.174273	3.969553	3.754236	4.224086	3.288684	
0.0061	4.272165	4.033135	4.441637	1.17342	3.968791	3.754379	4.223635	3.288799	
0.00615	4.273173	4.034633	4.441615	1.172569	3.968031	3.754521	4.223185	3.288914	
0.0062	4.274179	4.036129	4.441593	1.17172	3.967276	3.754664	4.222734	3.289029	
0.00625	4.275183	4.037622	4.441573	1.170874	3.966523	3.754807	4.222286	3.289145	
0.0063	4.276185	4.039113	4.441553	1.170031	3.965774	3.754951	4.221839	3.28926	
0.00635	4.277184	4.040601	4.441534	1.16919	3.965027	3.755095	4.221391	3.289375	
0.0064	4.278182	4.042088	4.441516	1.168352	3.964284	3.755239	4.220945	3.28949	
0.00645	4.279177	4.043571	4.441499	1.167517	3.963545	3.755383	4.2205	3.289605	
0.0065	4.28017	4.045052	4.441482	1.166684	3.962808	3.755528	4.220056	3.289721	
0.00655	4.281161	4.04653	4.441466	1.165854	3.962075	3.755673	4.219613	3.289836	
0.0066	4.282148	4.048006	4.441451	1.165026	3.961346	3.755818	4.21917	3.289952	
0.00665	4.283134	4.049478	4.441437	1.164201	3.960619	3.755964	4.218728	3.290067	
0.0067	4.284118	4.050948	4.441423	1.163378	3.959895	3.756109	4.218287	3.290182	
0.00675	4.285099	4.052414	4.44141	1.162558	3.959174	3.756256	4.217847	3.290298	
0.0068	4.286077	4.053878	4.441398	1.161741	3.958456	3.756402	4.217408	3.290414	
0.00685	4.287054	4.055339	4.441386	1.160926	3.957742	3.756548	4.21697	3.290529	
0.0069	4.288027	4.056797	4.441375	1.160113	3.957031	3.756695	4.216532	3.290645	
0.00695	4.288999	4.058251	4.441365	1.159303	3.956323	3.756842	4.216096	3.290761	
0.007	4.289968	4.059702	4.441355	1.158496	3.955617	3.75699	4.21566	3.290876	
0.00705	4.290934	4.06115	4.441346	1.157691	3.954915	3.757138	4.215225	3.290992	
0.0071	4.291898	4.062595	4.441338	1.156889	3.954216	3.757286	4.214791	3.291108	
0.00715	4.292859	4.064036	4.44133	1.156089	3.953521	3.757434	4.214358	3.291223	
0.0072	4.293818	4.065474	4.441323	1.155292	3.952828	3.757582	4.213925	3.291339	
0.00725	4.294775	4.066909	4.441316	1.154497	3.952138	3.757731	4.213493	3.291455	
0.0073	4.295728	4.06834	4.44131	1.153705	3.951451	3.75788	4.213063	3.291571	
0.00735	4.296679	4.069768	4.441305	1.152915	3.950767	3.758029	4.212633	3.291687	
0.0074	4.297628	4.071192	4.4413	1.152128	3.950086	3.758179	4.212204	3.291802	
0.00745	4.298574	4.072612	4.441296	1.151342	3.949408	3.758328	4.211775	3.291918	
0.0075	4.299518	4.074029	4.441292	1.15056	3.948733	3.758479	4.211349	3.292035	
0.00755	4.300458	4.075442	4.441289	1.14978	3.948061	3.758629	4.210921	3.29215	
0.0076	4.301397	4.076852	4.441286	1.149003	3.947392	3.758779	4.210496	3.292266	
0.00765	4.302332	4.078258	4.441284	1.148227	3.946726	3.75893	4.210071	3.292382	
0.0077	4.303266	4.07966	4.441283	1.147455	3.946063	3.759081	4.209647	3.292498	
0.00775	4.304196	4.081058	4.441281	1.146685	3.945402	3.759232	4.209224	3.292615	
0.0078	4.305124	4.082453	4.441281	1.145917	3.944745	3.759383	4.208801	3.292731	
0.00785	4.306049	4.083844	4.441281	1.145151	3.94409	3.759535	4.20838	3.292847	
0.0079	4.306971	4.08523	4.441281	1.144388	3.943438	3.759687	4.207958	3.292963	
0.00795	4.307891	4.086613	4.441282	1.143628	3.942789	3.759839	4.207539	3.293079	
0.007999999	4.308809	4.087992	4.441284	1.14287	3.942143	3.759991	4.207119	3.293195	
0.008049999	4.309723	4.089367	4.441286	1.142114	3.941499	3.760144	4.2067	3.293312	
0.0081	4.310635	4.090738	4.441288	1.14136	3.940859	3.760297	4.206284	3.293428	
0.00815	4.311544	4.092105	4.441291	1.140609	3.940221	3.76045	4.205865	3.293544	
0.0082	4.312451	4.093468	4.441294	1.139861	3.939586	3.760603	4.205449	3.29366	
0.00825	4.313354	4.094827	4.441298	1.139114	3.938954	3.760756	4.205034	3.293777	
0.0083	4.314256	4.096182	4.441301	1.13837	3.938325	3.76091	4.204621	3.293893	
0.00835	4.315154	4.097532	4.441307	1.137629	3.937698	3.761064	4.204206	3.294009	
0.0084	4.31605	4.098879	4.441311	1.136889	3.937075	3.761218	4.203794	3.294126	
0.00845	4.316943	4.100222	4.441317	1.136153	3.936454	3.761372	4.203382	3.294242	
0.0085	4.317833	4.10156	4.441322	1.135418	3.935835	3.761527	4.20297	3.294358	
0.008549999	4.318721	4.102894	4.441329	1.134686	3.935219	3.761682	4.20256	3.294475	
0.008599999	4.319606	4.104224	4.441335	1.133956	3.934606	3.761837	4.20215	3.294591	
0.00865	4.320488	4.10555	4.441342	1.133228	3.933995	3.761992	4.201741	3.294708	
0.0087	4.321368	4.106871	4.441349	1.132503	3.933388	3.762147	4.201333	3.294824	
0.00875	4.322245	4.108188	4.441357	1.13178	3.932783	3.762303	4.200925	3.29494	
0.0088	4.323119	4.109501	4.441365	1.131059	3.932181	3.762458	4.200519	3.295057	
0.00885	4.323991	4.11081	4.441373	1.130341	3.931581	3.762614	4.200113	3.295173	
0.0089	4.32486	4.112115	4.441382	1.129625	3.930985	3.76277	4.199708	3.29529	
0.00895	4.325726	4.113415	4.441391	1.128911	3.93039	3.762927	4.199304	3.295406	
0.009	4.32659	4.114711	4.441401	1.128199	3.929799	3.763083	4.1989	3.295523	
0.00905	4.32745	4.116003	4.441411	1.12749	3.92921	3.76324	4.198497	3.29564	
0.009099999	4.328308	4.11729	4.441421	1.126783	3.928624	3.763397	4.198095	3.295756	
0.009149999	4.329163	4.118573	4.441431	1.126078	3.92804	3.763554	4.197693	3.295873	
0.0092	4.330016	4.119851	4.441442	1.125376	3.927458	3.763711	4.197293	3.295989	
0.00925	4.330866	4.121125	4.441453	1.124676	3.92688	3.763868	4.196893	3.296106	
0.0093	4.331713	4.122395	4.441464	1.123978	3.926303	3.764026	4.196495	3.296222	
0.00935	4.332557	4.123661	4.441476	1.123282	3.92573	3.764184	4.196096	3.296339	
0.0094	4.333399	4.124922	4.441488	1.122589	3.925159	3.764341	4.195698	3.296456	
0.00945	4.334238	4.126178	4.441501	1.121897	3.92459	3.764499	4.195302	3.296572	
0.0095	4.335075	4.12743	4.441513	1.121208	3.924024	3.764658	4.194906	3.296689	
0.00955	4.335908	4.128678	4.441526	1.120521	3.923461	3.764816	4.19451	3.296806	
0.0096	4.33674	4.129921	4.441539	1.119837	3.9229	3.764975	4.194116	3.296922	
0.009649999	4.337568	4.131161	4.441552	1.119154	3.922341	3.765133	4.193722	3.297039	
0.009699999	4.338393	4.132395	4.441566	1.118474	3.921786	3.765292	4.193329	3.297156	
0.00975	4.339217	4.133626	4.44158	1.117796	3.921232	3.765451	4.192937	3.297272	
0.0098	4.340037	4.134851	4.441594	1.11712	3.920681	3.765611	4.192545	3.297389	
0.00985	4.340854	4.136072	4.441608	1.116447	3.920133	3.76577	4.192154	3.297506	
0.0099	4.34167	4.137289	4.441623	1.115775	3.919587	3.76593	4.191764	3.297622	
0.00995	4.342482	4.138501	4.441638	1.115106	3.919043	3.76609	4.191375	3.297739	
0.01	4.343291	4.139709	4.441653	1.114439	3.918502	3.766249	4.190986	3.297856	
0.01005	4.344098	4.140913	4.441669	1.113774	3.917964	3.766409	4.190598	3.297972	
0.0101	4.344903	4.142112	4.441684	1.113111	3.917427	3.76657	4.19021	3.298089	
0.01015	4.345704	4.143306	4.4417	1.11245	3.916893	3.76673	4.189824	3.298206	
0.0102	4.346503	4.144496	4.441716	1.111792	3.916361	3.766891	4.189438	3.298322	
0.01025	4.3473	4.145682	4.441732	1.111135	3.915832	3.767051	4.189053	3.298439	
0.0103	4.348093	4.146863	4.441749	1.110481	3.915305	3.767212	4.188669	3.298556	
0.01035	4.348885	4.14804	4.441765	1.109829	3.91478	3.767373	4.188285	3.298673	
0.0104	4.349673	4.149212	4.441782	1.109179	3.914259	3.767534	4.187902	3.298789	
0.01045	4.350459	4.15038	4.441799	1.108531	3.913739	3.767695	4.187519	3.298906	
0.0105	4.351242	4.151543	4.441816	1.107885	3.913222	3.767856	4.187138	3.299023	
0.01055	4.352023	4.152701	4.441834	1.107242	3.912707	3.768018	4.186757	3.299139	
0.0106	4.3528	4.153856	4.441852	1.1066	3.912194	3.76818	4.186377	3.299256	
0.01065	4.353576	4.155005	4.441869	1.105961	3.911684	3.768341	4.185997	3.299373	
0.0107	4.354349	4.156151	4.441887	1.105323	3.911175	3.768503	4.185618	3.299489	
0.01075	4.355119	4.157292	4.441905	1.104688	3.91067	3.768665	4.18524	3.299607	
0.0108	4.355886	4.158428	4.441924	1.104055	3.910167	3.768827	4.184862	3.299723	
0.01085	4.356651	4.15956	4.441942	1.103424	3.909665	3.76899	4.184486	3.29984	
0.0109	4.357414	4.160688	4.441961	1.102795	3.909166	3.769152	4.18411	3.299957	
0.01095	4.358173	4.161811	4.44198	1.102168	3.908669	3.769314	4.183734	3.300073	
0.011	4.358931	4.16293	4.441999	1.101543	3.908175	3.769477	4.183359	3.30019	
0.01105	4.359685	4.164044	4.442018	1.10092	3.907683	3.76964	4.182985	3.300307	
0.0111	4.360437	4.165154	4.442037	1.100299	3.907194	3.769803	4.182612	3.300424	
0.01115	4.361187	4.166259	4.442057	1.09968	3.906706	3.769965	4.182239	3.30054	
0.0112	4.361934	4.16736	4.442076	1.099064	3.90622	3.770129	4.181868	3.300657	
0.01125	4.362678	4.168456	4.442096	1.098449	3.905737	3.770292	4.181496	3.300773	
0.0113	4.36342	4.169548	4.442116	1.097836	3.905256	3.770455	4.181125	3.30089	
0.01135	4.364159	4.170635	4.442136	1.097226	3.904777	3.770619	4.180755	3.301007	
0.0114	4.364896	4.171719	4.442156	1.096617	3.904301	3.770782	4.180385	3.301124	
0.01145	4.365631	4.172798	4.442176	1.09601	3.903827	3.770946	4.180017	3.30124	
0.0115	4.366362	4.173872	4.442196	1.095406	3.903354	3.77111	4.179648	3.301357	
0.01155	4.367092	4.174942	4.442217	1.094803	3.902884	3.771274	4.179281	3.301473	
0.0116	4.367818	4.176007	4.442237	1.094202	3.902417	3.771438	4.178914	3.30159	
0.01165	4.368542	4.177068	4.442258	1.093604	3.901951	3.771602	4.178548	3.301707	
0.0117	4.369264	4.178124	4.442279	1.093007	3.901487	3.771766	4.178183	3.301823	
0.01175	4.369983	4.179177	4.442299	1.092412	3.901026	3.77193	4.177818	3.30194	
0.0118	4.3707	4.180224	4.442321	1.09182	3.900567	3.772095	4.177454	3.302056	
0.01185	4.371414	4.181268	4.442342	1.091229	3.900109	3.772259	4.17709	3.302173	
0.0119	4.372126	4.182307	4.442363	1.09064	3.899655	3.772424	4.176727	3.302289	
0.01195	4.372835	4.183342	4.442384	1.090053	3.899202	3.772588	4.176365	3.302406	
0.012	4.373542	4.184372	4.442405	1.089469	3.898751	3.772753	4.176003	3.302522	
0.01205	4.374246	4.185399	4.442427	1.088886	3.898302	3.772918	4.175642	3.302639	
0.0121	4.374949	4.18642	4.442449	1.088305	3.897856	3.773083	4.175282	3.302756	
0.01215	4.375648	4.187438	4.44247	1.087726	3.897411	3.773248	4.174922	3.302872	
0.0122	4.376345	4.18845	4.442492	1.087149	3.896969	3.773413	4.174562	3.302989	
0.01225	4.377039	4.189459	4.442514	1.086574	3.896528	3.773579	4.174204	3.303105	
0.0123	4.377732	4.190464	4.442535	1.086001	3.89609	3.773744	4.173847	3.303221	
0.01235	4.378422	4.191464	4.442557	1.085429	3.895653	3.773909	4.17349	3.303338	
0.0124	4.379109	4.19246	4.442579	1.08486	3.895219	3.774075	4.173132	3.303454	
0.01245	4.379794	4.193451	4.442601	1.084293	3.894788	3.77424	4.172777	3.303571	
0.0125	4.380476	4.194438	4.442624	1.083727	3.894357	3.774406	4.172421	3.303687	
0.01255	4.381157	4.195421	4.442646	1.083163	3.893928	3.774572	4.172066	3.303803	
0.0126	4.381835	4.1964	4.442668	1.082602	3.893503	3.774738	4.171712	3.30392	
0.01265	4.38251	4.197374	4.44269	1.082042	3.893079	3.774904	4.171358	3.304036	
0.0127	4.383183	4.198344	4.442713	1.081484	3.892656	3.775069	4.171005	3.304152	
0.01275	4.383854	4.19931	4.442735	1.080928	3.892236	3.775236	4.170653	3.304269	
0.0128	4.384522	4.200271	4.442758	1.080374	3.891818	3.775402	4.170301	3.304385	
0.01285	4.385188	4.201229	4.44278	1.079821	3.891401	3.775568	4.16995	3.304501	
0.0129	4.385851	4.202182	4.442802	1.079271	3.890987	3.775734	4.1696	3.304617	
0.01295	4.386513	4.203131	4.442825	1.078722	3.890575	3.775901	4.169249	3.304734	
0.013	4.387172	4.204075	4.442848	1.078176	3.890165	3.776067	4.1689	3.30485	
0.01305	4.387828	4.205016	4.442871	1.077631	3.889756	3.776233	4.168551	3.304966	
0.0131	4.388483	4.205952	4.442893	1.077088	3.88935	3.7764	4.168203	3.305082	
0.01315	4.389135	4.206884	4.442916	1.076546	3.888945	3.776567	4.167855	3.305199	
0.0132	4.389784	4.207812	4.442939	1.076007	3.888543	3.776733	4.167508	3.305315	
0.01325	4.390431	4.208736	4.442962	1.075469	3.888142	3.7769	4.167161	3.305431	
0.0133	4.391077	4.209655	4.442984	1.074934	3.887743	3.777067	4.166815	3.305547	
0.01335	4.391719	4.21057	4.443007	1.0744	3.887347	3.777234	4.16647	3.305663	
0.0134	4.39236	4.211482	4.44303	1.073868	3.886951	3.7774	4.166125	3.305779	
0.01345	4.392998	4.212389	4.443053	1.073338	3.886559	3.777567	4.165781	3.305895	
0.0135	4.393634	4.213292	4.443076	1.072809	3.886167	3.777735	4.165438	3.306011	
0.01355	4.394268	4.21419	4.443099	1.072283	3.885777	3.777901	4.165094	3.306127	
0.0136	4.3949	4.215086	4.443122	1.071758	3.88539	3.778069	4.164752	3.306243	
0.01365	4.395529	4.215976	4.443145	1.071235	3.885004	3.778236	4.164411	3.306359	
0.0137	4.396156	4.216863	4.443168	1.070713	3.884621	3.778403	4.164068	3.306475	
0.01375	4.39678	4.217745	4.443191	1.070194	3.884239	3.77857	4.163728	3.306591	
0.0138	4.397403	4.218624	4.443214	1.069676	3.883859	3.778738	4.163388	3.306707	
0.01385	4.398023	4.219499	4.443237	1.06916	3.883481	3.778905	4.163048	3.306823	
0.0139	4.398642	4.220369	4.44326	1.068646	3.883104	3.779073	4.162709	3.306938	
0.01395	4.399257	4.221235	4.443283	1.068134	3.88273	3.77924	4.16237	3.307054	
0.014	4.399871	4.222097	4.443306	1.067623	3.882357	3.779408	4.162033	3.30717	
0.01405	4.400482	4.222956	4.443329	1.067114	3.881986	3.779575	4.161695	3.307286	
0.0141	4.401092	4.22381	4.443352	1.066607	3.881617	3.779743	4.161357	3.307401	
0.01415	4.401699	4.22466	4.443376	1.066102	3.881249	3.779911	4.161022	3.307517	
0.0142	4.402304	4.225506	4.443398	1.065598	3.880884	3.780078	4.160685	3.307633	
0.01425	4.402906	4.226348	4.443421	1.065096	3.88052	3.780246	4.160351	3.307748	
0.0143	4.403507	4.227187	4.443444	1.064596	3.880158	3.780414	4.160016	3.307864	
0.01435	4.404106	4.228021	4.443468	1.064098	3.879797	3.780582	4.159681	3.30798	
0.0144	4.404702	4.228851	4.443491	1.063601	3.879439	3.78075	4.159348	3.308095	
0.01445	4.405296	4.229678	4.443513	1.063106	3.879082	3.780918	4.159014	3.308211	
0.0145	4.405888	4.2305	4.443536	1.062613	3.878727	3.781085	4.158682	3.308326	
0.01455	4.406478	4.231319	4.44356	1.062121	3.878374	3.781254	4.15835	3.308441	
0.0146	4.407066	4.232133	4.443583	1.061632	3.878022	3.781421	4.158018	3.308557	
0.01465	4.407651	4.232944	4.443605	1.061143	3.877673	3.78159	4.157687	3.308672	
0.0147	4.408235	4.233751	4.443628	1.060657	3.877325	3.781758	4.157356	3.308788	
0.01475	4.408816	4.234554	4.443651	1.060172	3.876979	3.781926	4.157027	3.308903	
0.0148	4.409396	4.235353	4.443674	1.059689	3.876634	3.782094	4.156697	3.309018	
0.01485	4.409973	4.236148	4.443697	1.059208	3.876291	3.782262	4.156368	3.309134	
0.0149	4.410548	4.236939	4.44372	1.058728	3.87595	3.78243	4.15604	3.309249	
0.01495	4.411121	4.237727	4.443743	1.05825	3.87561	3.782599	4.155712	3.309364	
0.015	4.411692	4.238511	4.443766	1.057773	3.875273	3.782767	4.155385	3.309479	
0.01505	4.412261	4.23929	4.443788	1.057299	3.874936	3.782935	4.155057	3.309594	
